Name,Year of release,Rating,Genre,imdb Url,votes
Alita: Battle Angel,(2018),NA,"
Action, Adventure, Romance            ",http://www.imdb.com/title/tt0437086/?ref_=adv_li_tt,NA
The Foreigner,(2017),7.2,"
Action, Crime, Drama            ",http://www.imdb.com/title/tt1615160/?ref_=adv_li_tt,"16,659"
The Hitman's Bodyguard,(2017),7,"
Action, Comedy            ",http://www.imdb.com/title/tt1959563/?ref_=adv_li_tt,"93,899"
War for the Planet of the Apes,(2017),7.5,"
Action, Adventure, Drama            ",http://www.imdb.com/title/tt3450958/?ref_=adv_li_tt,"135,130"
Suicide Squad,(2016),6.1,"
Action, Adventure, Fantasy            ",http://www.imdb.com/title/tt1386697/?ref_=adv_li_tt,"452,227"
Kong: Skull Island,(2017),6.7,"
Action, Adventure, Fantasy            ",http://www.imdb.com/title/tt3731562/?ref_=adv_li_tt,"178,269"
Bright,(I) (2017),NA,"
Action, Crime, Fantasy            ",http://www.imdb.com/title/tt5519340/?ref_=adv_li_tt,NA
Rogue One,(2016),7.8,"
Action, Adventure, Sci-Fi            ",http://www.imdb.com/title/tt3748528/?ref_=adv_li_tt,"380,640"
Kingsman: The Secret Service,(2014),7.7,"
Action, Adventure, Comedy            ",http://www.imdb.com/title/tt2802144/?ref_=adv_li_tt,"483,655"
Ocean's 8,(2018),NA,"
Action, Crime, Thriller            ",http://www.imdb.com/title/tt5164214/?ref_=adv_li_tt,NA
The Dark Tower,(2017),5.7,"
Action, Adventure, Fantasy            ",http://www.imdb.com/title/tt1648190/?ref_=adv_li_tt,"67,809"
Titans,(2018– ),NA,"
Action, Adventure, Fantasy            ",http://www.imdb.com/title/tt1043813/?ref_=adv_li_tt,NA
Lethal Weapon,(2016– ),8.1,"
Action, Crime, Drama            ",http://www.imdb.com/title/tt5164196/?ref_=adv_li_tt,"22,099"
Strike Back,(2010–2017),8.3,"
Action, Drama, Thriller            ",http://www.imdb.com/title/tt1492179/?ref_=adv_li_tt,"23,843"
Scorpion,(2014– ),7.2,"
Action, Drama            ",http://www.imdb.com/title/tt3514324/?ref_=adv_li_tt,"37,816"
Jurassic World,(2015),7,"
Action, Adventure, Sci-Fi            ",http://www.imdb.com/title/tt0369610/?ref_=adv_li_tt,"475,878"
Chicago Fire,(2012– ),7.9,"
Action, Drama            ",http://www.imdb.com/title/tt2261391/?ref_=adv_li_tt,"26,498"
Hellboy,(2018),NA,"
Action, Adventure, Fantasy            ",http://www.imdb.com/title/tt2274648/?ref_=adv_li_tt,NA
S.W.A.T.,(2017– ),6.1,"
Action, Adventure, Crime            ",http://www.imdb.com/title/tt6111130/?ref_=adv_li_tt,"2,391"
The Dark Knight,(2008),9,"
Action, Crime, Drama            ",http://www.imdb.com/title/tt0468569/?ref_=adv_li_tt,"1,862,065"
The Last Man on Earth,(2015– ),7.4,"
Action, Comedy, Drama            ",http://www.imdb.com/title/tt3230454/?ref_=adv_li_tt,"41,944"
Ant-Man and the Wasp,(2018),NA,"
Action, Adventure, Sci-Fi            ",http://www.imdb.com/title/tt5095030/?ref_=adv_li_tt,NA
MacGyver,(2016– ),5,"
Action, Adventure, Drama            ",http://www.imdb.com/title/tt1399045/?ref_=adv_li_tt,"10,690"
Pirates of the Caribbean: Dead Men Tell No Tales,(2017),6.7,"
Action, Adventure, Fantasy            ",http://www.imdb.com/title/tt1790809/?ref_=adv_li_tt,"162,565"
Prison Break,(2005–2017),8.4,"
Action, Crime, Drama            ",http://www.imdb.com/title/tt0455275/?ref_=adv_li_tt,"398,061"
Logan,(2017),8.2,"
Action, Drama, Sci-Fi            ",http://www.imdb.com/title/tt3315342/?ref_=adv_li_tt,"415,159"
Captain America: Civil War,(2016),7.9,"
Action, Adventure, Sci-Fi            ",http://www.imdb.com/title/tt3498820/?ref_=adv_li_tt,"456,336"
Guardians of the Galaxy,(2014),8.1,"
Action, Adventure, Sci-Fi            ",http://www.imdb.com/title/tt2015381/?ref_=adv_li_tt,"803,736"
Batman v Superman: Dawn of Justice,(2016),6.6,"
Action, Adventure, Sci-Fi            ",http://www.imdb.com/title/tt2975590/?ref_=adv_li_tt,"512,055"
Teen Wolf,(2011–2017),7.7,"
Action, Comedy, Drama            ",http://www.imdb.com/title/tt1567432/?ref_=adv_li_tt,"104,845"
Beyond Skyline,(2017),6,"
Action, Adventure, Horror            ",http://www.imdb.com/title/tt1724970/?ref_=adv_li_tt,642
Doctor Strange,(2016),7.5,"
Action, Adventure, Fantasy            ",http://www.imdb.com/title/tt1211837/?ref_=adv_li_tt,"368,064"
SEAL Team,(2017– ),6.6,"
Action, Drama, War            ",http://www.imdb.com/title/tt6473344/?ref_=adv_li_tt,"3,140"
Avengers: Age of Ultron,(2015),7.4,"
Action, Adventure, Sci-Fi            ",http://www.imdb.com/title/tt2395427/?ref_=adv_li_tt,"548,918"
Despicable Me 3,(2017),6.3,"
Animation, Action, Adventure            ",http://www.imdb.com/title/tt3469046/?ref_=adv_li_tt,"57,627"
Transformers: The Last Knight,(2017),5.2,"
Action, Adventure, Sci-Fi            ",http://www.imdb.com/title/tt3371366/?ref_=adv_li_tt,"82,561"
Aquaman,(2018),NA,"
Action, Adventure, Sci-Fi            ",http://www.imdb.com/title/tt1477834/?ref_=adv_li_tt,NA
Inhumans,(2017– ),5.3,"
Action, Adventure, Sci-Fi            ",http://www.imdb.com/title/tt4154858/?ref_=adv_li_tt,"12,608"
Baywatch,(2017),5.6,"
Action, Comedy, Crime            ",http://www.imdb.com/title/tt1469304/?ref_=adv_li_tt,"81,635"
Z Nation,(2014– ),6.7,"
Action, Comedy, Drama            ",http://www.imdb.com/title/tt3843168/?ref_=adv_li_tt,"24,591"
Star Wars,(1977),8.7,"
Action, Adventure, Fantasy            ",http://www.imdb.com/title/tt0076759/?ref_=adv_li_tt,"1,014,030"
Seven Sisters,(2017),6.9,"
Action, Adventure, Crime            ",http://www.imdb.com/title/tt1536537/?ref_=adv_li_tt,"35,941"
The Mountain Between Us,(2017),6.3,"
Action, Adventure, Drama            ",http://www.imdb.com/title/tt2226597/?ref_=adv_li_tt,"7,151"
Deadpool,(2016),8,"
Action, Adventure, Comedy            ",http://www.imdb.com/title/tt1431045/?ref_=adv_li_tt,"684,840"
Star Wars: Episode I - The Phantom Menace,(1999),6.5,"
Action, Adventure, Fantasy            ",http://www.imdb.com/title/tt0120915/?ref_=adv_li_tt,"592,270"
Ready Player One,(2018),NA,"
Action, Adventure, Sci-Fi            ",http://www.imdb.com/title/tt1677720/?ref_=adv_li_tt,NA
Jungle,(I) (2017),6.7,"
Action, Adventure, Biography            ",http://www.imdb.com/title/tt3758172/?ref_=adv_li_tt,"15,395"
The Brave,(2017– ),7.4,"
Action, Drama, Thriller            ",http://www.imdb.com/title/tt6461736/?ref_=adv_li_tt,"3,294"
Band of Brothers,(2001),9.5,"
Action, Drama, History            ",http://www.imdb.com/title/tt0185906/?ref_=adv_li_tt,"275,278"
Jumanji,(1995),6.9,"
Action, Adventure, Family            ",http://www.imdb.com/title/tt0113497/?ref_=adv_li_tt,"236,086"
The Dark Knight Rises,(2012),8.4,"
Action, Thriller            ",http://www.imdb.com/title/tt1345836/?ref_=adv_li_tt,"1,267,967"
Jessica Jones,(2015– ),8.2,"
Action, Crime, Drama            ",http://www.imdb.com/title/tt2357547/?ref_=adv_li_tt,"140,389"
John Wick: Chapter 2,(2017),7.6,"
Action, Crime, Thriller            ",http://www.imdb.com/title/tt4425200/?ref_=adv_li_tt,"200,711"
The New Mutants,(2018),NA,"
Action, Horror, Sci-Fi            ",http://www.imdb.com/title/tt4682266/?ref_=adv_li_tt,NA
Star Trek: The Next Generation,(1987–1994),8.6,"
Action, Adventure, Mystery            ",http://www.imdb.com/title/tt0092455/?ref_=adv_li_tt,"75,529"
The Avengers,(2012),8.1,"
Action, Adventure, Sci-Fi            ",http://www.imdb.com/title/tt0848228/?ref_=adv_li_tt,"1,075,286"
The Last Kingdom,(2015– ),8.3,"
Action, History, Romance            ",http://www.imdb.com/title/tt4179452/?ref_=adv_li_tt,"33,119"
Die Hard,(1988),8.2,"
Action, Thriller            ",http://www.imdb.com/title/tt0095016/?ref_=adv_li_tt,"654,646"
Venom,(2018),NA,"
Action, Horror, Sci-Fi            ",http://www.imdb.com/title/tt1270797/?ref_=adv_li_tt,NA
The Punisher,(2004),6.5,"
Action, Adventure, Crime            ",http://www.imdb.com/title/tt0330793/?ref_=adv_li_tt,"134,274"
The Defenders,(2017– ),7.6,"
Action, Adventure, Crime            ",http://www.imdb.com/title/tt4230076/?ref_=adv_li_tt,"48,604"
Maze Runner: The Death Cure,(2018),NA,"
Action, Sci-Fi, Thriller            ",http://www.imdb.com/title/tt4500922/?ref_=adv_li_tt,NA
Mad Max: Fury Road,(2015),8.1,"
Action, Adventure, Sci-Fi            ",http://www.imdb.com/title/tt1392190/?ref_=adv_li_tt,"675,616"
Pacific Rim Uprising,(2018),NA,"
Action, Adventure, Sci-Fi            ",http://www.imdb.com/title/tt2557478/?ref_=adv_li_tt,NA
John Wick,(2014),7.3,"
Action, Crime, Thriller            ",http://www.imdb.com/title/tt2911666/?ref_=adv_li_tt,"364,282"
Archer,(2009– ),8.7,"
Animation, Action, Comedy            ",http://www.imdb.com/title/tt1486217/?ref_=adv_li_tt,"109,281"
Spartacus: Blood and Sand,(2010–2013),8.6,"
Action, Adventure, Biography            ",http://www.imdb.com/title/tt1442449/?ref_=adv_li_tt,"190,231"
Person of Interest,(2011–2016),8.5,"
Action, Crime, Drama            ",http://www.imdb.com/title/tt1839578/?ref_=adv_li_tt,"141,604"
King Arthur: Legend of the Sword,(2017),6.9,"
Action, Adventure, Drama            ",http://www.imdb.com/title/tt1972591/?ref_=adv_li_tt,"125,900"
Inception,(2010),8.8,"
Action, Adventure, Sci-Fi            ",http://www.imdb.com/title/tt1375666/?ref_=adv_li_tt,"1,650,974"
Iron Fist,(2017– ),6.9,"
Action, Adventure, Crime            ",http://www.imdb.com/title/tt3322310/?ref_=adv_li_tt,"72,663"
Captain America: The First Avenger,(2011),6.9,"
Action, Adventure, Sci-Fi            ",http://www.imdb.com/title/tt0458339/?ref_=adv_li_tt,"571,818"
The Mummy,(2017),5.5,"
Action, Adventure, Fantasy            ",http://www.imdb.com/title/tt2345759/?ref_=adv_li_tt,"113,555"
HHhH,(2017),6.4,"
Action, Biography, Thriller            ",http://www.imdb.com/title/tt3296908/?ref_=adv_li_tt,"4,754"
Legion,(2017– ),8.5,"
Action, Drama, Sci-Fi            ",http://www.imdb.com/title/tt5114356/?ref_=adv_li_tt,"51,311"
Star Trek: Voyager,(1995–2001),7.7,"
Action, Adventure, Sci-Fi            ",http://www.imdb.com/title/tt0112178/?ref_=adv_li_tt,"44,723"
Tomb Raider,(2018),NA,"
Action, Adventure            ",http://www.imdb.com/title/tt1365519/?ref_=adv_li_tt,NA
Star Wars: Rebels,(2014– ),8,"
Animation, Action, Adventure            ",http://www.imdb.com/title/tt2930604/?ref_=adv_li_tt,"17,532"
Warcraft,(2016),6.9,"
Action, Adventure, Fantasy            ",http://www.imdb.com/title/tt0803096/?ref_=adv_li_tt,"201,178"
Rampage,(2018),NA,"
Action, Adventure, Sci-Fi            ",http://www.imdb.com/title/tt2231461/?ref_=adv_li_tt,NA
Captain Marvel,(2019),NA,"
Action, Adventure, Sci-Fi            ",http://www.imdb.com/title/tt4154664/?ref_=adv_li_tt,NA
Thor: The Dark World,(2013),7,"
Action, Adventure, Sci-Fi            ",http://www.imdb.com/title/tt1981115/?ref_=adv_li_tt,"466,219"
Thor,(2011),7,"
Action, Adventure, Fantasy            ",http://www.imdb.com/title/tt0800369/?ref_=adv_li_tt,"596,545"
Scott Pilgrim vs. the World,(2010),7.5,"
Action, Comedy, Romance            ",http://www.imdb.com/title/tt0446029/?ref_=adv_li_tt,"305,780"
X-Men: Apocalypse,(2016),7,"
Action, Adventure, Sci-Fi            ",http://www.imdb.com/title/tt3385516/?ref_=adv_li_tt,"303,556"
The LEGO Batman Movie,(2017),7.3,"
Animation, Action, Adventure            ",http://www.imdb.com/title/tt4116284/?ref_=adv_li_tt,"86,786"
The Magnificent Seven,(2016),6.9,"
Action, Adventure, Western            ",http://www.imdb.com/title/tt2404435/?ref_=adv_li_tt,"143,823"
The Great Wall,(I) (2016),6,"
Action, Adventure, Fantasy            ",http://www.imdb.com/title/tt2034800/?ref_=adv_li_tt,"88,517"
Kidnap,(2017),5.9,"
Action, Crime, Drama            ",http://www.imdb.com/title/tt1458169/?ref_=adv_li_tt,"19,389"
Kickboxer: Retaliation,(2018),NA,"
Action, Drama            ",http://www.imdb.com/title/tt5208950/?ref_=adv_li_tt,NA
Luke Cage,(2016– ),7.6,"
Action, Crime, Drama            ",http://www.imdb.com/title/tt3322314/?ref_=adv_li_tt,"78,575"
The Fate of the Furious,(2017),6.8,"
Action, Adventure, Crime            ",http://www.imdb.com/title/tt4630562/?ref_=adv_li_tt,"144,964"
Tiger Zinda Hai,(2017),NA,"
Action, Adventure, Thriller            ",http://www.imdb.com/title/tt5956100/?ref_=adv_li_tt,NA
The Librarians,(2014– ),7.3,"
Action, Adventure, Comedy            ",http://www.imdb.com/title/tt3663490/?ref_=adv_li_tt,"14,769"
Power Rangers,(2017),6.1,"
Action, Adventure, Sci-Fi            ",http://www.imdb.com/title/tt3717490/?ref_=adv_li_tt,"71,783"
Ant-Man,(2015),7.3,"
Action, Adventure, Comedy            ",http://www.imdb.com/title/tt0478970/?ref_=adv_li_tt,"398,560"
Incredibles 2,(2018),NA,"
Animation, Action, Adventure            ",http://www.imdb.com/title/tt3606756/?ref_=adv_li_tt,NA
Shooter,(2016– ),7.6,"
Action, Drama            ",http://www.imdb.com/title/tt4181172/?ref_=adv_li_tt,"18,301"
The Matrix,(1999),8.7,"
Action, Sci-Fi            ",http://www.imdb.com/title/tt0133093/?ref_=adv_li_tt,"1,356,864"
The Incredibles,(2004),8,"
Animation, Action, Adventure            ",http://www.imdb.com/title/tt0317705/?ref_=adv_li_tt,"527,771"
Star Trek: Beyond,(2016),7.1,"
Action, Adventure, Sci-Fi            ",http://www.imdb.com/title/tt2660888/?ref_=adv_li_tt,"184,584"
Star Wars: Episode VI - Return of the Jedi,(1983),8.4,"
Action, Adventure, Fantasy            ",http://www.imdb.com/title/tt0086190/?ref_=adv_li_tt,"772,398"
Man of Steel,(2013),7.1,"
Action, Adventure, Fantasy            ",http://www.imdb.com/title/tt0770828/?ref_=adv_li_tt,"600,292"
Buffy the Vampire Slayer,(1997–2003),8.2,"
Action, Drama, Fantasy            ",http://www.imdb.com/title/tt0118276/?ref_=adv_li_tt,"110,229"
Bushwick,(2017),5.1,"
Action, Adventure            ",http://www.imdb.com/title/tt4720702/?ref_=adv_li_tt,"3,733"
12 Strong,(2018),NA,"
Action, Drama, History            ",http://www.imdb.com/title/tt1413492/?ref_=adv_li_tt,NA
Assassin's Creed,(2016),5.8,"
Action, Adventure, Fantasy            ",http://www.imdb.com/title/tt2094766/?ref_=adv_li_tt,"141,785"
Shadowhunters: The Mortal Instruments,(2016– ),6.5,"
Action, Fantasy, Romance            ",http://www.imdb.com/title/tt4145054/?ref_=adv_li_tt,"32,425"
Star Wars: Episode V - The Empire Strikes Back,(1980),8.8,"
Action, Adventure, Fantasy            ",http://www.imdb.com/title/tt0080684/?ref_=adv_li_tt,"941,774"
Avatar,(2009),7.8,"
Action, Adventure, Fantasy            ",http://www.imdb.com/title/tt0499549/?ref_=adv_li_tt,"964,632"
Sicario,(2015),7.6,"
Action, Crime, Drama            ",http://www.imdb.com/title/tt3397884/?ref_=adv_li_tt,"265,910"
Ghost in the Shell,(2017),6.4,"
Action, Crime, Drama            ",http://www.imdb.com/title/tt1219827/?ref_=adv_li_tt,"133,411"
Justified,(2010–2015),8.6,"
Action, Crime, Drama            ",http://www.imdb.com/title/tt1489428/?ref_=adv_li_tt,"70,618"
Stargate SG-1,(1997–2007),8.4,"
Action, Adventure, Drama            ",http://www.imdb.com/title/tt0118480/?ref_=adv_li_tt,"71,152"
Watchmen,(2009),7.6,"
Action, Drama, Mystery            ",http://www.imdb.com/title/tt0409459/?ref_=adv_li_tt,"423,067"
Firangi,(2017),5.3,"
Action, Comedy, Drama            ",http://www.imdb.com/title/tt7549484/?ref_=adv_li_tt,499
Star Trek: Deep Space Nine,(1993–1999),7.9,"
Action, Adventure, Drama            ",http://www.imdb.com/title/tt0106145/?ref_=adv_li_tt,"38,925"
Star Wars: Episode II - Attack of the Clones,(2002),6.6,"
Action, Adventure, Fantasy            ",http://www.imdb.com/title/tt0121765/?ref_=adv_li_tt,"517,599"
Captain America: The Winter Soldier,(2014),7.8,"
Action, Adventure, Sci-Fi            ",http://www.imdb.com/title/tt1843866/?ref_=adv_li_tt,"569,495"
Iron Man,(2008),7.9,"
Action, Adventure, Sci-Fi            ",http://www.imdb.com/title/tt0371746/?ref_=adv_li_tt,"764,748"
Orphan Black,(2013–2017),8.4,"
Action, Drama, Sci-Fi            ",http://www.imdb.com/title/tt2234222/?ref_=adv_li_tt,"84,232"
Fury,(2014),7.6,"
Action, Drama, War            ",http://www.imdb.com/title/tt2713180/?ref_=adv_li_tt,"346,483"
Deepwater Horizon,(2016),7.2,"
Action, Drama, Thriller            ",http://www.imdb.com/title/tt1860357/?ref_=adv_li_tt,"110,060"
Star Wars: Episode III - Revenge of the Sith,(2005),7.6,"
Action, Adventure, Fantasy            ",http://www.imdb.com/title/tt0121766/?ref_=adv_li_tt,"577,646"
Avatar: The Last Airbender,(2005–2008),9.2,"
Animation, Action, Adventure            ",http://www.imdb.com/title/tt0417299/?ref_=adv_li_tt,"158,725"
6 Days,(I) (2017),6.2,"
Action, Drama, History            ",http://www.imdb.com/title/tt4703048/?ref_=adv_li_tt,"7,017"
Gladiator,(2000),8.5,"
Action, Adventure, Drama            ",http://www.imdb.com/title/tt0172495/?ref_=adv_li_tt,"1,094,277"
Van Helsing,(2016– ),5.9,"
Action, Drama, Fantasy            ",http://www.imdb.com/title/tt5197820/?ref_=adv_li_tt,"8,455"
24,(2001–2010),8.4,"
Action, Crime, Drama            ",http://www.imdb.com/title/tt0285331/?ref_=adv_li_tt,"156,520"
Avatar 2,(2020),NA,"
Action, Adventure, Fantasy            ",http://www.imdb.com/title/tt1630029/?ref_=adv_li_tt,NA
Allied,(2016),7.1,"
Action, Drama, Romance            ",http://www.imdb.com/title/tt3640424/?ref_=adv_li_tt,"100,975"
Pacific Rim,(2013),7,"
Action, Adventure, Sci-Fi            ",http://www.imdb.com/title/tt1663662/?ref_=adv_li_tt,"411,561"
Mugen no jûnin,(2017),6.9,"
Action, Drama            ",http://www.imdb.com/title/tt5084170/?ref_=adv_li_tt,"3,925"
Timeless,(2016– ),7.6,"
Action, Adventure, Drama            ",http://www.imdb.com/title/tt5511582/?ref_=adv_li_tt,"18,749"
The Accountant,(2016),7.4,"
Action, Crime, Drama            ",http://www.imdb.com/title/tt2140479/?ref_=adv_li_tt,"197,828"
Banshee,(2013–2016),8.4,"
Action, Crime, Drama            ",http://www.imdb.com/title/tt2017109/?ref_=adv_li_tt,"68,124"
CHIPS,(2017),6,"
Action, Comedy, Crime            ",http://www.imdb.com/title/tt0493405/?ref_=adv_li_tt,"24,603"
300,(2006),7.7,"
Action, Fantasy            ",http://www.imdb.com/title/tt0416449/?ref_=adv_li_tt,"653,950"
Untitled Avengers Movie,(2019),NA,"
Action, Sci-Fi            ",http://www.imdb.com/title/tt4154796/?ref_=adv_li_tt,NA
Pearl Harbor,(2001),6.1,"
Action, Drama, History            ",http://www.imdb.com/title/tt0213149/?ref_=adv_li_tt,"275,006"
The Batman,,NA,"
Action, Crime, Drama            ",http://www.imdb.com/title/tt1877830/?ref_=adv_li_tt,NA
Batman Begins,(2005),8.3,"
Action, Adventure, Thriller            ",http://www.imdb.com/title/tt0372784/?ref_=adv_li_tt,"1,088,592"
Godzilla: King of Monsters,(2019),NA,"
Action, Adventure, Sci-Fi            ",http://www.imdb.com/title/tt3741700/?ref_=adv_li_tt,NA
The 5th Wave,(2016),5.2,"
Action, Adventure, Sci-Fi            ",http://www.imdb.com/title/tt2304933/?ref_=adv_li_tt,"78,312"
Okja,(2017),7.4,"
Action, Adventure, Drama            ",http://www.imdb.com/title/tt3967856/?ref_=adv_li_tt,"48,656"
Heat,(1995),8.2,"
Action, Crime, Drama            ",http://www.imdb.com/title/tt0113277/?ref_=adv_li_tt,"475,826"
Le cinquième élément,(1997),7.7,"
Action, Adventure, Sci-Fi            ",http://www.imdb.com/title/tt0119116/?ref_=adv_li_tt,"374,400"
Spectre,(I) (2015),6.8,"
Action, Adventure, Thriller            ",http://www.imdb.com/title/tt2379713/?ref_=adv_li_tt,"322,871"
Star Trek,(1966–1969),8.3,"
Action, Adventure, Mystery            ",http://www.imdb.com/title/tt0060028/?ref_=adv_li_tt,"59,222"
Chuck,(2007–2012),8.2,"
Action, Comedy, Drama            ",http://www.imdb.com/title/tt0934814/?ref_=adv_li_tt,"114,593"
The Incredible Hulk,(2008),6.8,"
Action, Adventure, Sci-Fi            ",http://www.imdb.com/title/tt0800080/?ref_=adv_li_tt,"355,034"
2:22,(2017),5.7,"
Action, Thriller            ",http://www.imdb.com/title/tt1131724/?ref_=adv_li_tt,"10,090"
The Maze Runner,(2014),6.8,"
Action, Mystery, Sci-Fi            ",http://www.imdb.com/title/tt1790864/?ref_=adv_li_tt,"349,500"
The Warriors,(1979),7.7,"
Action, Crime, Thriller            ",http://www.imdb.com/title/tt0080120/?ref_=adv_li_tt,"78,498"
